Titulo;Genero;Linguagens;Categoria;Disponibilidade_Geografica;Duracao;IMDb_Score;Rotten_Tomatoes_Score;Metacritic_Score;Premios_Recebidos;Premios_Indicados;Receita_Bilheteria;Data_Lancamento_Netflix;Total_Score
Hellboy;Action;English, Spanish, Russian, German;Movie;5;> 2 hrs;5.2;1.8;3.1;1.0;8.0;1;2019-10-24;3.366666666666667
The Mule;Crime;English, Spanish;Movie;17;1-2 hour;7.0;7.0;5.8;1.0;10.0;2;2019-10-24;6.6000000000000005
Breaking News;Action;Cantonese, Mandarin, English;Movie;1;1-2 hour;6.7;7.9;6.3;5.0;11.0;NAO_DEFINIDO;2019-10-21;6.966666666666666
The Command;Action;English, Russian;Movie;4;1-2 hour;6.6;6.9;5.5;0.0;0.0;NAO_DEFINIDO;2019-10-19;6.333333333333333
Wounds;Drama;English;Movie;34;1-2 hour;4.0;4.9;5.1;0.0;0.0;NAO_DEFINIDO;2019-10-18;4.666666666666667
The Laundromat;Comedy;English, Mandarin, Spanish, Russian;Movie;35;1-2 hour;6.3;4.0;5.7;0.0;7.0;NAO_DEFINIDO;2019-10-18;5.333333333333333
In My Country;Drama;English, Afrikaans;Movie;33;1-2 hour;6.0;2.3;4.4;1.0;3.0;1;2019-10-18;4.233333333333333
A Vigilante;Crime;English;Movie;1;1-2 hour;5.7;9.0;6.8;0.0;3.0;NAO_DEFINIDO;2019-10-17;7.166666666666667
Dogman;Crime;Italian;Movie;1;1-2 hour;7.2;8.4;7.1;3.609665427509294;6.350078492935636;1;2019-10-16;7.566666666666667
El Camino: A Breaking Bad Movie;Action;English;Movie;36;> 2 hrs;7.3;9.1;7.2;4.0;6.350078492935636;NAO_DEFINIDO;2019-10-11;7.866666666666667
They Shall Not Grow Old;Documentary;English;Movie;6;1-2 hour;8.3;9.9;9.1;5.0;11.0;1;2019-10-10;9.1
Dark Blue World;War;Czech, German, English, Slovak;Movie;2;1-2 hour;7.2;6.2;5.6;8.0;7.0;1;2019-10-09;6.333333333333333
Ransom;Action;English;Movie;7;> 2 hrs;6.7;7.5;6.0;3.0;5.0;2;2019-10-05;6.733333333333333
Mortal Engines;Action;English;Movie;14;> 2 hrs;6.1;2.6;4.4;3.0;3.0;1;2019-10-05;4.366666666666666
In the Tall Grass;Horror;English;Movie;35;1-2 hour;5.4;3.6;4.6;2.0;3.0;NAO_DEFINIDO;2019-10-04;4.533333333333333
Clara;Sci-Fi;English, Spanish;Movie;1;1-2 hour;6.7;5.2;4.3;2.0;4.0;NAO_DEFINIDO;2019-10-01;5.3999999999999995
Five Feet Apart;Drama;English, French;Movie;6;1-2 hour;7.2;5.2;5.3;3.0;7.0;1;2019-10-01;5.8999999999999995
Wonder Park;Animation;English;Movie;24;1-2 hour;5.9;3.4;4.5;0.0;1.0;1;2019-09-30;4.6000000000000005
What Men Want;Comedy;English, Mandarin;Movie;26;1-2 hour;5.3;4.2;4.9;1.0;0.0;2;2019-09-30;4.8
Night School;Comedy;English, Spanish, French, Arabic;Movie;14;1-2 hour;5.6;2.6;4.3;0.0;4.0;2;2019-09-28;4.166666666666666
The Last Family;Biography;Polish;Movie;1;1-2 hour;7.5;8.6;6.9;3.609665427509294;16.0;NAO_DEFINIDO;2019-09-27;7.666666666666667
Green Book;Biography;English, Italian, Russian, German;Movie;6;> 2 hrs;8.2;7.8;6.9;3.609665427509294;6.350078492935636;2;2019-09-26;7.633333333333333
Nancy Drew and the Hidden Staircase;Comedy;English;Movie;5;1-2 hour;5.7;7.2;5.5;0.0;1.0;1;2019-09-26;6.133333333333333
Phantom Thread;Drama;English, French;Movie;7;> 2 hrs;7.5;9.1;9.0;3.609665427509294;6.350078492935636;1;2019-09-25;8.533333333333333
Between Two Ferns: The Movie;Comedy;English;Movie;36;1-2 hour;6.1;7.4;5.9;1.0;2.0;NAO_DEFINIDO;2019-09-20;6.466666666666666
If Beale Street Could Talk;Drama;English, Spanish;Movie;13;1-2 hour;7.1;9.5;8.7;3.609665427509294;6.350078492935636;1;2019-09-19;8.433333333333332
Slaughterhouse Rulez;Action;English;Movie;17;1-2 hour;5.3;3.8;3.9;0.0;0.0;1;2019-09-18;4.333333333333333
Clive Davis: The Soundtrack of Our Lives;Documentary;English;Movie;28;> 2 hrs;7.5;8.0;5.7;3.0;0.0;NAO_DEFINIDO;2019-09-16;7.066666666666666
We Have Always Lived in the Castle;Drama;English;Movie;1;1-2 hour;5.6;8.7;6.3;1.0;0.0;NAO_DEFINIDO;2019-09-14;6.866666666666666
Unbroken: Path to Redemption;Biography;English, Italian;Movie;10;1-2 hour;5.8;3.8;3.9;0.0;5.0;1;2019-09-14;4.5
The Battleship Island;Action;Korean, Japanese;Movie;1;> 2 hrs;7.1;6.4;6.0;8.0;11.0;1;2019-09-13;6.5
Real;Action;English, Ukrainian;Movie;1;> 2 hrs;7.1;6.0;5.6;2.0;6.0;2;2019-09-13;6.233333333333333
A Taxi Driver;Action;Korean, German, English, Japanese;Movie;2;> 2 hrs;7.9;9.6;6.9;3.609665427509294;6.350078492935636;1;2019-09-13;8.133333333333333
Lets Go, JETS! From Small Town Girls to U.S. Champions?!;Crime;Swedish, Spanish;Movie;1;> 2 hrs;7.9;9.8;8.2;3.609665427509294;6.350078492935636;1;2019-09-13;8.633333333333335
Evelyn;Drama;English;Movie;36;1-2 hour;7.0;6.4;5.5;4.0;7.0;1;2019-09-10;6.3
The Entity;Drama;English;Movie;4;1-2 hour;6.7;6.4;3.5;1.0;1.0;1;2019-09-09;5.533333333333334
I Still See You;Fantasy;English;Movie;1;1-2 hour;5.8;0.8;3.1;0.0;0.0;1;2019-09-07;3.233333333333334
Fantastic Beasts: The Crimes of Grindelwald;Adventure;English, French;Movie;12;> 2 hrs;6.6;3.6;5.2;3.0;6.350078492935636;2;2019-09-07;5.133333333333334
Destination Wedding;Comedy;English, Spanish;Movie;7;1-2 hour;6.0;5.1;4.6;0.0;0.0;NAO_DEFINIDO;2019-09-07;5.233333333333333
Blinded by the Light;Comedy;English;Movie;1;1-2 hour;6.9;8.9;7.1;2.0;6.0;1;2019-09-06;7.633333333333333
A Dogs Way Home;Adventure;English;Movie;15;1-2 hour;6.7;5.9;5.0;2.0;0.0;1;2019-09-05;5.866666666666667
Avengement;Action;English;Movie;24;1-2 hour;6.5;8.4;6.3;0.0;1.0;NAO_DEFINIDO;2019-09-05;7.066666666666667
Aquaman;Action;English, Russian, Maori, Italian;Movie;12;> 2 hrs;6.9;6.5;5.5;2.0;6.350078492935636;2;2019-09-05;6.3
Kingsman: The Golden Circle;Action;English, Italian, Swedish;Movie;1;> 2 hrs;6.7;5.1;4.4;2.0;13.0;2;2019-09-04;5.400000000000001
Homme Less;Documentary;English;Movie;1;1-2 hour;7.2;8.2;6.7;2.0;0.0;NAO_DEFINIDO;2019-09-03;7.366666666666667
Downrange;Action;English;Movie;1;1-2 hour;5.4;7.1;4.2;0.0;1.0;NAO_DEFINIDO;2019-09-03;5.566666666666667
Perfectos desconocidos;Comedy;Spanish;Movie;4;1-2 hour;6.6;8.1;6.3;0.0;0.0;NAO_DEFINIDO;2019-09-01;7.0
Wonder Wheel;Drama;English;Movie;1;1-2 hour;6.2;3.2;4.5;4.0;4.0;1;2019-09-01;4.633333333333333
Elena;Documentary;Portuguese, English;Movie;12;1-2 hour;7.6;8.1;8.1;11.0;9.0;1;2019-09-01;7.933333333333333
Hell Fest;Horror;English;Movie;4;1-2 hour;5.5;4.0;2.6;1.0;0.0;1;2019-08-28;4.033333333333333
Halloween;Crime;English;Movie;13;1-2 hour;6.5;7.9;6.7;3.0;6.350078492935636;2;2019-08-22;7.033333333333334
American Factory;Documentary;English, Mandarin;Movie;36;1-2 hour;7.4;9.6;8.6;3.609665427509294;6.350078492935636;NAO_DEFINIDO;2019-08-21;8.533333333333333
Robin Hood;Action;English, Arabic;Movie;9;1-2 hour;5.3;1.5;3.2;0.0;4.0;1;2019-08-20;3.3333333333333335
Lucky;Comedy;English, Spanish;Movie;1;1-2 hour;7.3;7.7;8.0;3.609665427509294;18.0;1;2019-08-18;7.666666666666667
First Man;Biography;English;Movie;12;> 2 hrs;7.3;8.7;8.4;3.609665427509294;6.350078492935636;1;2019-08-18;8.133333333333333
Instant Family;Comedy;English, Spanish;Movie;19;1-2 hour;7.3;8.1;5.7;2.0;5.0;2;2019-08-16;7.033333333333334
